category_1,category_2,rate_1_pct,rate_2_pct,rate_difference,cat1_higher
academic,news_commentary,32.48,10.77,21.72,Yes
academic,ngo_nonprofit,32.48,11.29,21.19,Yes
academic,federal_policy,32.48,12.14,20.34,Yes
academic,state_local,32.48,17.85,14.63,Yes
federal_policy,news_commentary,12.14,10.77,1.38,Yes
federal_policy,ngo_nonprofit,12.14,11.29,0.85,Yes
news_commentary,ngo_nonprofit,10.77,11.29,-0.52,No
federal_policy,state_local,12.14,17.85,-5.71,No
ngo_nonprofit,state_local,11.29,17.85,-6.56,No
news_commentary,state_local,10.77,17.85,-7.08,No
